indicador,adf_estatistica,adf_valor_critico_5pct,kpss_estatistica,kpss_valor_critico_5pct
ipca,-7.769334020833846,-2.87,0.2977843077541437,0.463
ipca_15,-7.88125387402534,-2.87,0.3083308889938387,0.463
inpc,-7.295741456247435,-2.87,0.33916852882164666,0.463
igp_di,-6.916176778405792,-2.87,0.21967662013980693,0.463
igp_m,-6.800500971417776,-2.87,0.21979329857714905,0.463
