indicador,ipca,ipca_15,inpc,igp_di,igp_m
ipca,1,0.8569050640240731,0.9587377809132654,0.5408483506905173,0.5618341407203253
ipca_15,0.8569050640240731,1,0.8414044154929521,0.40104424281928686,0.49759771407999553
inpc,0.9587377809132654,0.8414044154929521,1,0.5595125779286854,0.5910755415533215
igp_di,0.5408483506905173,0.40104424281928686,0.5595125779286854,1,0.9421768476525102
igp_m,0.5618341407203253,0.49759771407999553,0.5910755415533215,0.9421768476525102,1
