indicador,media,mediana,desvio_pad,minimo,maximo
igp_di,0.6043887147335423,0.49,0.9220861905295643,-2.33,5.84
igp_m,0.606614420062696,0.51,0.9175715549251514,-1.93,5.19
inpc,0.5024764890282132,0.45,0.44284508831445574,-0.6,3.39
ipca,0.4950470219435737,0.45,0.39176095865384547,-0.68,3.02
ipca_15,0.49673015873015874,0.44,0.39501645560938853,-0.73,3.05
