data,valor,indicador
1990-07-01,0.027199470492,ipca
1990-08-01,0.0307027623187,ipca
1990-09-01,0.0351270304097,ipca
1990-10-01,0.0401712720553,ipca
1990-11-01,0.0469240627842,ipca
1990-12-01,0.0555768600186,ipca
1991-01-01,0.0671090584724,ipca
1991-02-01,0.0810143888491,ipca
1991-03-01,0.0906736471203,ipca
1991-04-01,0.0951976035258,ipca
1991-05-01,0.1022725378062,ipca
1991-06-01,0.113715813284,ipca
1991-07-01,0.1278267780427,ipca
1991-08-01,0.1478066592194,ipca
1991-09-01,0.1709099599291,ipca
1991-10-01,0.2054843245466,ipca
1991-11-01,0.2572875157699,ipca
1991-12-01,0.3182886773263,ipca
1992-01-01,0.4008536605699,ipca
1992-02-01,0.4983410307284,ipca
1992-03-01,0.60498746741809994,ipca
1992-04-01,0.7255614652283,ipca
1992-05-01,0.9059361644186,ipca
1992-06-01,1.0890285720637,ipca
1992-07-01,1.3267641484791,ipca
1992-08-01,1.6205100844213,ipca
1992-09-01,2.0196408623306,ipca
1992-10-01,2.5293973801068,ipca
1992-11-01,3.0982598885128,ipca
1992-12-01,3.88025965509,ipca
1993-01-01,5.0579166458253,ipca
1993-02-01,6.3213843084293,ipca
1993-03-01,8.0445948724789,ipca
1993-04-01,10.2769672819025,ipca
1993-05-01,13.1226581300609,ipca
1993-06-01,17.0686429798089,ipca
1993-07-01,22.3121307612362,ipca
1993-08-01,29.6662109364145,ipca
1993-09-01,40.2540807309468,ipca
1993-10-01,53.9082648348533,ipca
1993-11-01,73.078046584524,ipca
1993-12-01,100,ipca
1994-01-01,141.31,ipca
1994-02-01,198.22,ipca
1994-03-01,282.96,ipca
1994-04-01,403.73,ipca
1994-05-01,581.49,ipca
1994-06-01,857.29,ipca
1994-07-01,915.93,ipca
1994-08-01,932.97,ipca
1994-09-01,947.24,ipca
1994-10-01,972.06,ipca
1994-11-01,999.37,ipca
1994-12-01,1016.46,ipca
1995-01-01,1033.74,ipca
1995-02-01,1044.28,ipca
1995-03-01,1060.47,ipca
1995-04-01,1086.24,ipca
1995-05-01,1115.24,ipca
1995-06-01,1140.44,ipca
1995-07-01,1167.35,ipca
1995-08-01,1178.91,ipca
1995-09-01,1190.58,ipca
1995-10-01,1207.37,ipca
1995-11-01,1225.12,ipca
1995-12-01,1244.23,ipca
1996-01-01,1260.9,ipca
1996-02-01,1273.89,ipca
1996-03-01,1278.35,ipca
1996-04-01,1294.46,ipca
1996-05-01,1310.25,ipca
1996-06-01,1325.84,ipca
1996-07-01,1340.56,ipca
1996-08-01,1346.46,ipca
1996-09-01,1348.48,ipca
1996-10-01,1352.53,ipca
1996-11-01,1356.86,ipca
1996-12-01,1363.24,ipca
1997-01-01,1379.33,ipca
1997-02-01,1386.23,ipca
1997-03-01,1393.3,ipca
1997-04-01,1405.56,ipca
1997-05-01,1411.32,ipca
1997-06-01,1418.94,ipca
1997-07-01,1422.06,ipca
1997-08-01,1421.78,ipca
1997-09-01,1422.63,ipca
1997-10-01,1425.9,ipca
1997-11-01,1428.32,ipca
1997-12-01,1434.46,ipca
1998-01-01,1444.64,ipca
1998-02-01,1451.29,ipca
1998-03-01,1456.22,ipca
1998-04-01,1459.71,ipca
1998-05-01,1467.01,ipca
1998-06-01,1467.3,ipca
1998-07-01,1465.54,ipca
1998-08-01,1458.07,ipca
1998-09-01,1454.86,ipca
1998-10-01,1455.15,ipca
1998-11-01,1453.4,ipca
1998-12-01,1458.2,ipca
1999-01-01,1468.41,ipca
1999-02-01,1483.83,ipca
1999-03-01,1500.15,ipca
