data,grupo,valor
2020-08-01,4.Vestuário,-0.78
2020-08-01,5.Transportes,0.82
2020-08-01,6.Saúde e cuidados pessoais,0.5
2020-08-01,7.Despesas pessoais,-0.01
2020-08-01,8.Educação,-3.47
2020-08-01,9.Comunicação,0.67
2020-09-01,1.Alimentação e bebidas,2.28
2020-09-01,2.Habitação,0.37
2020-09-01,3.Artigos de residência,1
2020-09-01,4.Vestuário,0.37
2020-09-01,5.Transportes,0.7
2020-09-01,6.Saúde e cuidados pessoais,-0.64
2020-09-01,7.Despesas pessoais,0.09
2020-09-01,8.Educação,-0.09
2020-09-01,9.Comunicação,0.15
2020-10-01,1.Alimentação e bebidas,1.93
2020-10-01,2.Habitação,0.36
2020-10-01,3.Artigos de residência,1.53
2020-10-01,4.Vestuário,1.11
2020-10-01,5.Transportes,1.19
2020-10-01,6.Saúde e cuidados pessoais,0.28
2020-10-01,7.Despesas pessoais,0.19
2020-10-01,8.Educação,-0.04
2020-10-01,9.Comunicação,0.21
2020-11-01,1.Alimentação e bebidas,2.54
2020-11-01,2.Habitação,0.44
2020-11-01,3.Artigos de residência,0.86
2020-11-01,4.Vestuário,0.07
2020-11-01,5.Transportes,1.33
2020-11-01,6.Saúde e cuidados pessoais,-0.13
2020-11-01,7.Despesas pessoais,0.01
2020-11-01,8.Educação,-0.02
2020-11-01,9.Comunicação,0.29
2020-12-01,1.Alimentação e bebidas,1.74
2020-12-01,2.Habitação,2.88
2020-12-01,3.Artigos de residência,1.76
2020-12-01,4.Vestuário,0.59
2020-12-01,5.Transportes,1.36
2020-12-01,6.Saúde e cuidados pessoais,0.4
2020-12-01,7.Despesas pessoais,0.65
2020-12-01,8.Educação,0.48
2020-12-01,9.Comunicação,0.39
2021-01-01,1.Alimentação e bebidas,1.02
2021-01-01,2.Habitação,-1.07
2021-01-01,3.Artigos de residência,0.86
2021-01-01,4.Vestuário,-0.07
2021-01-01,5.Transportes,0.41
2021-01-01,6.Saúde e cuidados pessoais,0.32
2021-01-01,7.Despesas pessoais,0.39
2021-01-01,8.Educação,0.13
2021-01-01,9.Comunicação,0.02
2021-02-01,1.Alimentação e bebidas,0.27
2021-02-01,2.Habitação,0.4
2021-02-01,3.Artigos de residência,0.66
2021-02-01,4.Vestuário,0.38
2021-02-01,5.Transportes,2.28
2021-02-01,6.Saúde e cuidados pessoais,0.62
2021-02-01,7.Despesas pessoais,0.17
2021-02-01,8.Educação,2.48
2021-02-01,9.Comunicação,-0.13
2021-03-01,1.Alimentação e bebidas,0.13
2021-03-01,2.Habitação,0.81
2021-03-01,3.Artigos de residência,0.69
2021-03-01,4.Vestuário,0.29
2021-03-01,5.Transportes,3.81
2021-03-01,6.Saúde e cuidados pessoais,-0.02
2021-03-01,7.Despesas pessoais,0.04
2021-03-01,8.Educação,-0.52
2021-03-01,9.Comunicação,-0.07
2021-04-01,1.Alimentação e bebidas,0.4
2021-04-01,2.Habitação,0.22
2021-04-01,3.Artigos de residência,0.57
2021-04-01,4.Vestuário,0.47
2021-04-01,5.Transportes,-0.08
2021-04-01,6.Saúde e cuidados pessoais,1.19
2021-04-01,7.Despesas pessoais,0.01
2021-04-01,8.Educação,0.04
2021-04-01,9.Comunicação,0.08
2021-05-01,1.Alimentação e bebidas,0.44
2021-05-01,2.Habitação,1.78
2021-05-01,3.Artigos de residência,1.25
2021-05-01,4.Vestuário,0.92
2021-05-01,5.Transportes,1.15
2021-05-01,6.Saúde e cuidados pessoais,0.76
2021-05-01,7.Despesas pessoais,0.21
2021-05-01,8.Educação,0.06
2021-05-01,9.Comunicação,0.21
2021-06-01,1.Alimentação e bebidas,0.43
2021-06-01,2.Habitação,1.1
2021-06-01,3.Artigos de residência,1.09
2021-06-01,4.Vestuário,1.21
2021-06-01,5.Transportes,0.41
2021-06-01,6.Saúde e cuidados pessoais,0.51
2021-06-01,7.Despesas pessoais,0.29
2021-06-01,8.Educação,0.05
2021-06-01,9.Comunicação,-0.12
2021-07-01,1.Alimentação e bebidas,0.6
2021-07-01,2.Habitação,3.1
2021-07-01,3.Artigos de residência,0.78
2021-07-01,4.Vestuário,0.53
2021-07-01,5.Transportes,1.52
2021-07-01,6.Saúde e cuidados pessoais,-0.65
2021-07-01,7.Despesas pessoais,0.45
2021-07-01,8.Educação,0.18
2021-07-01,9.Comunicação,0.12
2021-08-01,1.Alimentação e bebidas,1.39
2021-08-01,2.Habitação,0.68
2021-08-01,3.Artigos de residência,0.99
2021-08-01,4.Vestuário,1.02
2021-08-01,5.Transportes,1.46
2021-08-01,6.Saúde e cuidados pessoais,-0.04
2021-08-01,7.Despesas pessoais,0.64
2021-08-01,8.Educação,0.28
2021-08-01,9.Comunicação,0.23
2021-09-01,1.Alimentação e bebidas,1.02
2021-09-01,2.Habitação,2.56
2021-09-01,3.Artigos de residência,0.9
2021-09-01,4.Vestuário,0.31
2021-09-01,5.Transportes,1.82
2021-09-01,6.Saúde e cuidados pessoais,0.39
2021-09-01,7.Despesas pessoais,0.56
2021-09-01,8.Educação,-0.01
2021-09-01,9.Comunicação,0.07
2021-10-01,1.Alimentação e bebidas,1.17
2021-10-01,2.Habitação,1.04
2021-10-01,3.Artigos de residência,1.27
2021-10-01,4.Vestuário,1.8
2021-10-01,5.Transportes,2.62
2021-10-01,6.Saúde e cuidados pessoais,0.39
2021-10-01,7.Despesas pessoais,0.75
2021-10-01,8.Educação,0.06
2021-10-01,9.Comunicação,0.54
2021-11-01,1.Alimentação e bebidas,-0.04
2021-11-01,2.Habitação,1.03
2021-11-01,3.Artigos de residência,1.03
2021-11-01,4.Vestuário,0.95
2021-11-01,5.Transportes,3.35
2021-11-01,6.Saúde e cuidados pessoais,-0.57
2021-11-01,7.Despesas pessoais,0.57
2021-11-01,8.Educação,0.02
2021-11-01,9.Comunicação,0.09
2021-12-01,1.Alimentação e bebidas,0.84
2021-12-01,2.Habitação,0.74
2021-12-01,3.Artigos de residência,1.37
2021-12-01,4.Vestuário,2.06
2021-12-01,5.Transportes,0.58
2021-12-01,6.Saúde e cuidados pessoais,0.75
2021-12-01,7.Despesas pessoais,0.56
2021-12-01,8.Educação,0.05
2021-12-01,9.Comunicação,0.34
2022-01-01,1.Alimentação e bebidas,1.11
2022-01-01,2.Habitação,0.16
2022-01-01,3.Artigos de residência,1.82
2022-01-01,4.Vestuário,1.07
2022-01-01,5.Transportes,-0.11
2022-01-01,6.Saúde e cuidados pessoais,0.36
2022-01-01,7.Despesas pessoais,0.78
2022-01-01,8.Educação,0.25
2022-01-01,9.Comunicação,1.05
2022-02-01,1.Alimentação e bebidas,1.28
2022-02-01,2.Habitação,0.54
2022-02-01,3.Artigos de residência,1.76
2022-02-01,4.Vestuário,0.88
2022-02-01,5.Transportes,0.46
2022-02-01,6.Saúde e cuidados pessoais,0.47
2022-02-01,7.Despesas pessoais,0.64
2022-02-01,8.Educação,5.61
2022-02-01,9.Comunicação,0.29
2022-03-01,1.Alimentação e bebidas,2.42
2022-03-01,2.Habitação,1.15
2022-03-01,3.Artigos de residência,0.57
2022-03-01,4.Vestuário,1.82
2022-03-01,5.Transportes,3.02
2022-03-01,6.Saúde e cuidados pessoais,0.88
2022-03-01,7.Despesas pessoais,0.59
2022-03-01,8.Educação,0.15
2022-03-01,9.Comunicação,-0.05
2022-04-01,1.Alimentação e bebidas,2.06
2022-04-01,2.Habitação,-1.14
2022-04-01,3.Artigos de residência,1.53
2022-04-01,4.Vestuário,1.26
2022-04-01,5.Transportes,1.91
2022-04-01,6.Saúde e cuidados pessoais,1.77
2022-04-01,7.Despesas pessoais,0.48
2022-04-01,8.Educação,0.06
2022-04-01,9.Comunicação,0.08
2022-05-01,1.Alimentação e bebidas,0.48
2022-05-01,2.Habitação,-1.7
2022-05-01,3.Artigos de residência,0.66
2022-05-01,4.Vestuário,2.11
2022-05-01,5.Transportes,1.34
2022-05-01,6.Saúde e cuidados pessoais,1.01
2022-05-01,7.Despesas pessoais,0.52
2022-05-01,8.Educação,0.04
2022-05-01,9.Comunicação,0.72
2022-06-01,1.Alimentação e bebidas,0.8
2022-06-01,2.Habitação,0.41
2022-06-01,3.Artigos de residência,0.55
2022-06-01,4.Vestuário,1.67
2022-06-01,5.Transportes,0.57
2022-06-01,6.Saúde e cuidados pessoais,1.24
2022-06-01,7.Despesas pessoais,0.49
2022-06-01,8.Educação,0.09
2022-06-01,9.Comunicação,0.16
