data,grupo,valor
2021-03-01,8.Educação,-0.43
2021-03-01,9.Comunicação,-0.11
2021-04-01,1.Alimentação e bebidas,0.49
2021-04-01,2.Habitação,0.35
2021-04-01,3.Artigos de residência,0.63
2021-04-01,4.Vestuário,0.53
2021-04-01,5.Transportes,-0.08
2021-04-01,6.Saúde e cuidados pessoais,1.34
2021-04-01,7.Despesas pessoais,0.1
2021-04-01,8.Educação,0.06
2021-04-01,9.Comunicação,0.09
2021-05-01,1.Alimentação e bebidas,0.53
2021-05-01,2.Habitação,1.91
2021-05-01,3.Artigos de residência,1.31
2021-05-01,4.Vestuário,0.81
2021-05-01,5.Transportes,1.48
2021-05-01,6.Saúde e cuidados pessoais,0.64
2021-05-01,7.Despesas pessoais,0.26
2021-05-01,8.Educação,0.1
2021-05-01,9.Comunicação,0.2
2021-06-01,1.Alimentação e bebidas,0.47
2021-06-01,2.Habitação,1.12
2021-06-01,3.Artigos de residência,1.15
2021-06-01,4.Vestuário,1.15
2021-06-01,5.Transportes,0.5
2021-06-01,6.Saúde e cuidados pessoais,0.51
2021-06-01,7.Despesas pessoais,0.34
2021-06-01,8.Educação,0.08
2021-06-01,9.Comunicação,-0.12
2021-07-01,1.Alimentação e bebidas,0.66
2021-07-01,2.Habitação,3.17
2021-07-01,3.Artigos de residência,0.64
2021-07-01,4.Vestuário,0.5
2021-07-01,5.Transportes,1.27
2021-07-01,6.Saúde e cuidados pessoais,-0.45
2021-07-01,7.Despesas pessoais,0.54
2021-07-01,8.Educação,0.13
2021-07-01,9.Comunicação,0.13
2021-08-01,1.Alimentação e bebidas,1.29
2021-08-01,2.Habitação,0.69
2021-08-01,3.Artigos de residência,1.04
2021-08-01,4.Vestuário,1.03
2021-08-01,5.Transportes,1.43
2021-08-01,6.Saúde e cuidados pessoais,-0.15
2021-08-01,7.Despesas pessoais,0.69
2021-08-01,8.Educação,0.32
2021-08-01,9.Comunicação,0.22
2021-09-01,1.Alimentação e bebidas,0.94
2021-09-01,2.Habitação,2.83
2021-09-01,3.Artigos de residência,1
2021-09-01,4.Vestuário,0.5
2021-09-01,5.Transportes,1.4
2021-09-01,6.Saúde e cuidados pessoais,0.65
2021-09-01,7.Despesas pessoais,0.58
2021-09-01,8.Educação,0.04
2021-09-01,9.Comunicação,0.03
2021-10-01,1.Alimentação e bebidas,1.1
2021-10-01,2.Habitação,1.14
2021-10-01,3.Artigos de residência,1.32
2021-10-01,4.Vestuário,1.76
2021-10-01,5.Transportes,1.99
2021-10-01,6.Saúde e cuidados pessoais,0.47
2021-10-01,7.Despesas pessoais,0.87
2021-10-01,8.Educação,0.07
2021-10-01,9.Comunicação,0.42
2021-11-01,1.Alimentação e bebidas,-0.03
2021-11-01,2.Habitação,1.02
2021-11-01,3.Artigos de residência,1.07
2021-11-01,4.Vestuário,0.95
2021-11-01,5.Transportes,3.18
2021-11-01,6.Saúde e cuidados pessoais,-1.18
2021-11-01,7.Despesas pessoais,0.52
2021-11-01,8.Educação,-0.01
2021-11-01,9.Comunicação,0.12
2021-12-01,1.Alimentação e bebidas,0.76
2021-12-01,2.Habitação,0.64
2021-12-01,3.Artigos de residência,1.5
2021-12-01,4.Vestuário,2.1
2021-12-01,5.Transportes,0.27
2021-12-01,6.Saúde e cuidados pessoais,1.21
2021-12-01,7.Despesas pessoais,0.59
2021-12-01,8.Educação,0.09
2021-12-01,9.Comunicação,0.43
2022-01-01,1.Alimentação e bebidas,1.08
2022-01-01,2.Habitação,0.17
2022-01-01,3.Artigos de residência,1.86
2022-01-01,4.Vestuário,1.19
2022-01-01,5.Transportes,0.19
2022-01-01,6.Saúde e cuidados pessoais,0.67
2022-01-01,7.Despesas pessoais,0.88
2022-01-01,8.Educação,0.23
2022-01-01,9.Comunicação,0.85
2022-02-01,1.Alimentação e bebidas,1.25
2022-02-01,2.Habitação,0.47
2022-02-01,3.Artigos de residência,1.84
2022-02-01,4.Vestuário,0.9
2022-02-01,5.Transportes,0.51
2022-02-01,6.Saúde e cuidados pessoais,0.91
2022-02-01,7.Despesas pessoais,0.7
2022-02-01,8.Educação,5.41
2022-02-01,9.Comunicação,0.29
2022-03-01,1.Alimentação e bebidas,2.39
2022-03-01,2.Habitação,1.24
2022-03-01,3.Artigos de residência,0.58
2022-03-01,4.Vestuário,1.78
2022-03-01,5.Transportes,3.01
2022-03-01,6.Saúde e cuidados pessoais,1.29
2022-03-01,7.Despesas pessoais,0.61
2022-03-01,8.Educação,0.19
2022-03-01,9.Comunicação,-0.08
2022-04-01,1.Alimentação e bebidas,2.26
2022-04-01,2.Habitação,-1.2
2022-04-01,3.Artigos de residência,1.5
2022-04-01,4.Vestuário,1.36
2022-04-01,5.Transportes,1.56
2022-04-01,6.Saúde e cuidados pessoais,1.94
2022-04-01,7.Despesas pessoais,0.51
2022-04-01,8.Educação,0.09
2022-04-01,9.Comunicação,0.08
2022-05-01,1.Alimentação e bebidas,0.63
2022-05-01,2.Habitação,-1.65
2022-05-01,3.Artigos de residência,0.61
2022-05-01,4.Vestuário,2.05
2022-05-01,5.Transportes,1.11
2022-05-01,6.Saúde e cuidados pessoais,1.24
2022-05-01,7.Despesas pessoais,0.54
2022-05-01,8.Educação,0.1
2022-05-01,9.Comunicação,0.77
2022-06-01,1.Alimentação e bebidas,0.78
2022-06-01,2.Habitação,0.53
2022-06-01,3.Artigos de residência,0.64
2022-06-01,4.Vestuário,1.63
2022-06-01,5.Transportes,0.42
2022-06-01,6.Saúde e cuidados pessoais,0.87
2022-06-01,7.Despesas pessoais,0.41
2022-06-01,8.Educação,0.14
2022-06-01,9.Comunicação,0.09
2022-07-01,1.Alimentação e bebidas,1.31
2022-07-01,2.Habitação,-0.83
2022-07-01,3.Artigos de residência,0.2
2022-07-01,4.Vestuário,0.65
2022-07-01,5.Transportes,-4.44
2022-07-01,6.Saúde e cuidados pessoais,0.27
2022-07-01,7.Despesas pessoais,1.05
2022-07-01,8.Educação,0.1
2022-07-01,9.Comunicação,0.07
2022-08-01,1.Alimentação e bebidas,0.26
2022-08-01,2.Habitação,-0.07
2022-08-01,3.Artigos de residência,0.39
2022-08-01,4.Vestuário,1.64
