mes,ipca,ipca_15,inpc,igp_di,igp_m
2012 fev,0.45,0.53,0.39,0.07,-0.06
2012 mar,0.21,0.25,0.18,0.56,0.43
2012 abr,0.64,0.43,0.64,1.02,0.85
2012 mai,0.36,0.51,0.55,0.91,1.02
2012 jun,0.08,0.18,0.26,0.69,0.66
2012 jul,0.43,0.33,0.43,1.52,1.34
2012 ago,0.41,0.39,0.45,1.29,1.43
2012 set,0.57,0.48,0.63,0.88,0.97
2012 out,0.59,0.65,0.71,-0.31,0.02
2012 nov,0.6,0.54,0.54,0.25,-0.03
2012 dez,0.79,0.69,0.74,0.66,0.68
2013 jan,0.86,0.88,0.92,0.31,0.34
2013 fev,0.6,0.68,0.52,0.2,0.29
2013 mar,0.47,0.49,0.6,0.31,0.21
2013 abr,0.55,0.51,0.59,-0.06,0.15
2013 mai,0.37,0.46,0.35,0.32,0
2013 jun,0.26,0.38,0.28,0.76,0.75
2013 jul,0.03,0.07,-0.13,0.14,0.26
2013 ago,0.24,0.16,0.16,0.46,0.15
2013 set,0.35,0.27,0.27,1.36,1.5
2013 out,0.57,0.48,0.61,0.63,0.86
2013 nov,0.54,0.57,0.54,0.28,0.29
2013 dez,0.92,0.75,0.72,0.69,0.6
2014 jan,0.55,0.67,0.63,0.4,0.48
2014 fev,0.69,0.7,0.64,0.85,0.38
2014 mar,0.92,0.73,0.82,1.48,1.67
2014 abr,0.67,0.78,0.78,0.45,0.78
2014 mai,0.46,0.58,0.6,-0.45,-0.13
2014 jun,0.4,0.47,0.26,-0.63,-0.74
2014 jul,0.01,0.17,0.13,-0.55,-0.61
2014 ago,0.25,0.14,0.18,0.06,-0.27
2014 set,0.57,0.39,0.49,0.02,0.2
2014 out,0.42,0.48,0.38,0.59,0.28
2014 nov,0.51,0.38,0.53,1.14,0.98
2014 dez,0.78,0.79,0.62,0.38,0.62
2015 jan,1.24,0.89,1.48,0.67,0.76
2015 fev,1.22,1.33,1.16,0.53,0.27
2015 mar,1.32,1.24,1.51,1.21,0.98
2015 abr,0.71,1.07,0.71,0.92,1.17
2015 mai,0.74,0.6,0.99,0.4,0.41
2015 jun,0.79,0.99,0.77,0.68,0.67
2015 jul,0.62,0.59,0.58,0.58,0.69
2015 ago,0.22,0.43,0.25,0.4,0.28
2015 set,0.54,0.39,0.51,1.42,0.95
2015 out,0.82,0.66,0.77,1.76,1.89
2015 nov,1.01,0.85,1.11,1.19,1.52
2015 dez,0.96,1.18,0.9,0.44,0.49
2016 jan,1.27,0.92,1.51,1.53,1.14
2016 fev,0.9,1.42,0.95,0.79,1.29
2016 mar,0.43,0.43,0.44,0.43,0.51
2016 abr,0.61,0.51,0.64,0.36,0.33
2016 mai,0.78,0.86,0.98,1.13,0.82
2016 jun,0.35,0.4,0.47,1.63,1.69
2016 jul,0.52,0.54,0.64,-0.39,0.18
2016 ago,0.44,0.45,0.31,0.43,0.15
2016 set,0.08,0.23,0.08,0.03,0.2
2016 out,0.26,0.19,0.17,0.13,0.16
2016 nov,0.18,0.26,0.07,0.05,-0.03
2016 dez,0.3,0.19,0.14,0.83,0.54
2017 jan,0.38,0.31,0.42,0.43,0.64
2017 fev,0.33,0.54,0.24,0.06,0.08
2017 mar,0.25,0.15,0.32,-0.38,0.01
2017 abr,0.14,0.21,0.08,-1.24,-1.1
2017 mai,0.31,0.24,0.36,-0.51,-0.93
2017 jun,-0.23,0.16,-0.3,-0.96,-0.67
2017 jul,0.24,-0.18,0.17,-0.3,-0.72
2017 ago,0.19,0.35,-0.03,0.24,0.1
2017 set,0.16,0.11,-0.02,0.62,0.47
2017 out,0.42,0.34,0.37,0.1,0.2
2017 nov,0.28,0.32,0.18,0.8,0.52
2017 dez,0.44,0.35,0.26,0.74,0.89
2018 jan,0.29,0.39,0.23,0.58,0.76
2018 fev,0.32,0.38,0.18,0.15,0.07
2018 mar,0.09,0.1,0.07,0.56,0.64
2018 abr,0.22,0.21,0.21,0.93,0.57
2018 mai,0.4,0.14,0.43,1.64,1.38
