mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2022 jul,1.16,-0.78,0.39,1.39,-1.08,0.71,0.79,0.07,-0.05,14.593445409669602,6.452176251260133,14.457929483210542,17.238798568429402,17.95300521457557,7.138536400078799,7.751617218767759,6.7326690497101715,3.221224436580572
2022 ago,1.12,-0.37,0.08,0.76,-5.24,0.81,0.81,0.61,-0.3,14.70688180385855,4.009319602952299,13.359223975058976,17.029733938527315,10.545215845447341,8.320487960003442,7.890748230273914,7.062550678876778,2.7163996040231897
2022 set,-0.47,0.47,0.24,1.66,-2.35,0.94,0.83,0.12,-2.74,12.736012105638817,2.90316435754423,12.250603687245999,18.333427016020345,5.603016310975661,8.979069617091074,8.266561943257567,7.201745914282864,-0.1180061438982527
2022 out,0.21,0.28,-0.35,1.43,-0.64,0.8,0.57,0.19,-0.42,11.43495534726835,1.297038596000144,11.268006141789154,18.46189796915656,2.8092857207382194,9.861888362864102,8.051683384275222,7.308851265381167,-0.8745370919811535
2022 nov,0.54,0.48,0.54,1.48,0.49,0.91,0.27,0.05,0,11.590342735202785,0.7156781924212874,10.183052669117298,18.33362935239695,0.411168452492805,9.981777328339447,7.6865350655131115,7.3517705139624745,-1.190726766328909
2022 dez,0.69,0.4,-0.46,1.16,0.85,0.4,0.39,0,0.18,11.968426606951343,0.216591580962322,8.386412320228631,18.403857025603145,-1.0217345476111972,11.233710524481522,7.557966920971659,7.3517705139624745,-1.1611283819354057
2023 jan,0.55,0.17,0.38,0.42,0.17,1.1,0.57,0.36,2.36,11.50267698652032,-0.23160426689529112,7.296134799847653,17.16708043467745,-0.44529721492331253,11.421065431735666,7.493836164584322,7.469562980361832,0.08059055124238768
2023 fev,0.39,0.63,0.71,-0.05,0.08,0.55,0.63,6.41,0.78,10.610214848584732,0.246566776059165,6.001508099790631,15.822863113895846,-1.2249959876031058,12.05629255012024,7.333843354257974,8.252898492429983,0.5896271641987694
2023 mar,0.2,0.81,-0.18,0.11,1.5,1.18,0.28,0.08,0.75,8.711559860992546,0.5257773470061178,4.27782141047699,14.859106749203722,-0.42051144956014586,11.923550643841718,7.162861524940167,8.188037558641813,1.3035279567475522
2023 abr,0.04,0.48,0.07,0.39,1.44,1.04,0.28,0.11,0.06,6.361901696759853,-0.709425854446355,3.379052789245418,13.079393219109159,-2.336427356118942,12.558530477294404,6.907001131327073,8.252917940985839,1.4150175823127498
2023 mai,0.94,0.43,-0.28,0.35,-0.04,1.49,0.4,0.07,0.02,5.75423913781461,3.7103729738736657,2.089118084210262,11.403073920455565,-4.101662853807941,11.787506195719821,6.546187349466326,8.263736741499628,0.930647349083813
2023 jun,-0.51,0.96,-0.01,0.79,-0.55,0.19,0.52,0.04,0.11,4.952511240111468,4.019464091419489,1.1283031230451934,10.330311687557403,-5.423545922364137,10.595341618931254,6.524992563838827,8.231280339958257,0.6792258481145952
2023 jul,-0.4,-0.94,-0.4,0.04,0.63,0.07,0.38,0.11,-0.17,3.3340264878914727,3.8517245806895195,0.3324931871232284,8.86127212963055,-3.7886314816771405,9.892521455728808,6.091663394762792,8.27454256853426,0.5583503393424616
2023 ago,-0.65,1.08,0.01,-0.03,0.23,0.81,0.6,0.71,0.04,1.5252722663372076,5.363166923778961,0.26231658317541484,8.007754811424839,1.765148444401654,9.892521455728808,5.870661020862378,8.382160640861613,0.9012775120142313
2023 set,-0.77,0.3,-0.47,0.41,2.02,0.17,0.35,0.05,-0.15,1.2192581833481375,5.1848874535187495,-0.4478414852010282,6.679703527593617,6.319308185333905,9.054228989700363,5.366665014812466,8.306384060309657,3.588243466734742
2023 out,-0.31,0.26,0.05,0.33,0.78,0.28,0.31,0.07,-0.29,0.6940210387982981,5.163909215095641,-0.04823422573370095,5.522770925007103,7.838766897322369,8.491647649674118,5.094264369452506,8.176662869699424,3.72347616055555
2023 nov,0.82,0.2,0.24,0.55,0.18,0.08,0.52,0.03,-0.22,0.9744499814167806,4.870856920308353,-0.3464790012686292,4.555721487085784,7.506096803400908,7.5992874519808185,5.35629255427712,8.155038349385645,3.495284513002339
2023 dez,0.54,0.48,-0.15,0.03,0.77,0.14,0.56,0.05,-0.46,0.8240262303271795,4.954419356101414,-0.036125459882163646,3.38778984137198,7.420816805936625,7.320643878898014,5.5347024530143285,8.209115868560346,2.8341048155744675
2024 jan,1.53,0.33,0.26,0.22,-1.13,0.56,0.56,0.39,-0.03,1.8066969981613168,5.122061435536152,-0.15562799967908658,3.181879086858186,6.026716158559986,6.7474178878534685,5.52420879661053,8.241462156683665,0.43303495909514655
2024 fev,0.97,0.14,0.45,-0.39,0.15,0.76,0.46,5.07,1.67,2.3948819195572124,4.610188136287308,-0.4133932337182622,2.8308852010199503,6.100875532371952,6.970361276778858,5.3459407304729645,6.878398917420836,1.3199708701250534
2024 mar,0.91,0.19,-0.58,-0.22,0.43,0.61,-0.07,0.14,-0.04,3.120434476073042,3.9668162818631503,-0.8124579773218787,2.4919161458172967,4.982373691784403,6.367741135172178,4.978259445514199,6.942474696148326,0.5255016196297868
2024 abr,0.61,0.07,0.03,0.41,-0.49,0.78,0.4,0.05,0.17,3.7079859320042763,3.542588627846799,-0.8521052410463414,2.5123348959210645,2.984976400527062,6.0940315875163575,5.1038816147748856,6.878379715809002,0.6360133643645405
2024 mai,0.26,0.25,-0.44,0.66,0.77,1.07,0.18,0.11,0.18,3.0093389096765177,3.3570099566030187,-1.0111873024325368,2.829014754593051,3.8194885142168067,5.654978545179601,4.873574304463624,6.921101162682519,0.7969987886626839
